source_id,ra,ra_error,dec,dec_error,l,b,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,teff_val
4568179481487113088,256.7847995110814,0.01771918799758316,22.408250229695348,0.02506667497034192,43.43665697492693,32.37591991822707,19.954565818858626,0.034993138875558966,13.152306,2.522462,,,3403.25
6066768234794452224,196.96557316350794,1.6676919597522732,-55.27377341254395,1.6232045526928944,305.28993353606734,7.52276101707459,19.954495121328893,2.786941514019267,20.63378,1.1896896,,,
4123791619267529088,266.9058691516071,1.0082653131430552,-17.039429950047516,0.8912196010790828,10.440169278882722,5.754508540647543,19.954282968577616,1.0900938136244414,19.63927,1.484705,,,
5926860190520367488,251.14666813025391,2.5294693606658205,-59.13061402886839,2.268364038494188,329.1355685041394,-8.705274223834026,19.954252944114316,3.86912433385918,20.824085,1.6394157,,,
4788033050571148160,70.41570885187583,0.03568420520260402,-48.73467870433975,0.045648137086896884,255.29724516448016,-41.12083441249059,19.954235078245183,0.04342947357158183,14.59514,2.7502527,,,3970.53
4912381184242630144,23.752915604205857,0.0727004467146115,-55.195744569693105,0.05741139216101511,290.1429746720686,-60.837393101631385,19.95415328199797,0.09554140015653437,16.380693,3.3139677,,,3377.3333
1828819515851427840,302.638339552064,0.5239105717933372,20.61762578512528,0.48278369654213377,60.39747276130155,-6.967665593544729,19.954101737608358,0.9757188444764113,17.241947,1.0568275,,,
4108411062214687104,257.4311011210447,2.1707647561878924,-28.51450566296943,1.2581150616267731,355.9823090262896,6.783128396307091,19.953972335574782,2.6981436287720943,20.184488,1.1175632,,,
2018977234399960576,291.3952112468327,0.7709063714515594,22.098492190869212,1.1757148405929543,56.385280740685545,2.817085218653948,19.95391901732559,1.8855873686161497,20.178255,1.6958656,,,
2662106564982312192,346.1757106380908,1.0820678360018618,4.221118242635548,0.9332750464347853,79.4253056275027,-49.418645114968044,19.953798806638634,1.3052705824664665,20.148987,,,,
6198892252116327680,225.82559603698408,0.07001806748284531,-36.92630455102089,0.045021922126827416,330.294728164904,18.84227360814776,19.95379093439148,0.08355131463945673,7.6109023,0.7963176,18.06027758875616,0.2503134427404239,5889.0
4680556544870229120,57.98869866241961,0.022084646354982567,-60.42389678181853,0.02657217349010487,273.3111278724825,-44.94969987944693,19.953734897821775,0.026002340582109262,12.565693,2.2169971,18.750090544730078,0.3568107226284018,4012.61
1431481405410443648,248.30486469101345,0.07375200181608838,57.958087241470324,0.08109997702778725,87.63518926707835,40.869041627908395,19.953715014399062,0.07412452395189054,16.531988,3.3635588,,,4216.3545
294454406534513408,19.662057744394794,0.4571275519377638,25.132415334204435,0.2359693724076471,130.68240717430456,-37.32949950138238,19.95367726542612,0.6115775071021481,16.573534,1.3364315,,,4948.6665
6849856015394974464,306.4470216832074,0.10973472463370129,-22.960864076240295,0.05918506806424448,20.94381893794463,-30.38402908665869,19.953614061828954,0.12202944854111732,16.090178,3.3661785,,,4092.2234
6057652905429323008,181.0171396777009,1.391209996631492,-62.12405141038825,1.6162591205933516,297.4257491575369,0.2402245954667029,19.953593286126228,2.7619697341659704,20.16147,2.1959114,,,
4294797563223581696,294.4628716043937,0.0715854159925343,6.682604601930022,0.055022838854512805,44.24622165621196,-7.165158969957693,19.95356165195875,0.08722057108319223,14.880966,3.3560143,,,3833.7
6096944567620073088,212.57355685572756,0.0763639692568475,-44.99105854555776,0.09131676810393526,317.2778341326885,15.67286342029222,19.95355531909289,0.13146029341136728,8.134042,0.85308504,47.74693987186729,0.33729870754271873,5671.5
4322257213301619584,294.26672952451145,1.3771336979716795,17.75121713114801,1.6614028941470185,53.87138076862131,-1.6400341407205445,19.95353877993356,2.633819796169955,20.339272,2.0670624,,,
2422659733050262400,359.2182968844765,0.09221885309511667,-11.307807910432471,0.0636354537911147,81.28091805755037,-69.63637673472856,19.95349718727972,0.14398650020768508,16.409637,3.387288,,,3968.1433
6061551425758116736,194.7381607777066,0.5209740929384916,-55.47185072501046,1.0078830910212162,304.0055526514286,7.384233154400851,19.95346148632326,1.7914752951135235,19.373909,2.257349,,,
463222054059789312,47.72564223995957,0.058201715803635375,61.11008868147481,0.053866169915140885,138.98239702943164,2.6619814810770346,19.953302855623136,0.07497324611079634,16.50676,3.3591394,,,4132.7227
5268950777906623104,108.89393188623015,0.019269582741017737,-68.30629891323454,0.017936516408909343,279.41353285371605,-22.898727155507984,19.95330114655057,0.018161965890801643,10.304726,1.4151773,19.270355622648008,0.22028784762019135,4520.0
5931317713808915840,244.60567789128103,0.8331525149078529,-56.79959626098443,0.3479610848398866,328.48640458700567,-4.578262288022667,19.953295820855747,0.8629943785484301,18.545877,2.2531338,,,
4802463384771540352,84.53769721900471,0.07574893254655599,-44.340052186646766,0.08748567196555895,250.3539720827058,-31.250944950686524,19.953291024870186,0.08526721371076021,17.646013,0.7583256,,,
